trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,0,-22.244831558036978,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,6,-42.03210180195522,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",20,0,-25.81392607000671,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.798065677681905}",20,0,-108.09732259644456,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934954}",20,0,-81.19669499937284,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470279}",20,0,-82.65777466376441,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",25,0,-91.82947865770353,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458713}",20,0,-75.99783951583328,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.778312557068642}",30,0,-74.02448498284464,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832988}",20,0,-79.29858442712296,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118823}",35,0,-192.50489237709522,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.7666961448653229}",25,0,-24.663821584116103,"{0: 19, 1: 5, 2: 0, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409962}",20,0,-87.42644305385578,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",20,0,-9.57127784208768,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,0,-222.23203946459552,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",25,6,-104.0155406000799,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",20,5,-56.34876788287311,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,0,-69.47080662345658,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",20,0,-92.03670368963904,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
